approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Random;500;9;426;333;671;13;0.935200386286818;0.0;0.0003733634948730469;0.009741783142089844
Longest;100;0;100;81;145;14;0.9663807094829585;0.0;0.013442516326904297;0.0057756900787353516
Longest;100;1;100;81;145;14;0.9663807094829585;0.0;0.007387399673461914;0.006169795989990234
Longest;100;2;100;81;145;14;0.9663807094829585;0.0;0.007184743881225586;0.0066835880279541016
Longest;100;3;100;81;145;14;0.9663807094829585;0.0;0.007949590682983398;0.006375789642333984
Longest;100;4;100;81;145;14;0.9663807094829585;0.0;0.0075836181640625;0.005425930023193359
Longest;100;5;100;81;145;14;0.9663807094829585;0.0;0.007660388946533203;0.005894899368286133
Longest;100;6;100;81;145;14;0.9663807094829585;0.0;0.007193088531494141;0.007241964340209961
Longest;100;7;100;81;145;14;0.9663807094829585;0.0;0.008123636245727539;0.006894111633300781
Longest;100;8;100;81;145;14;0.9663807094829585;0.0;0.006705284118652344;0.005679130554199219
Longest;100;9;100;81;145;14;0.9663807094829585;0.0;0.007290363311767578;0.005997419357299805
Longest;200;0;200;152;261;14;0.9623104693140794;0.0;0.006453514099121094;0.007623910903930664
Longest;200;1;200;152;261;14;0.9623104693140794;0.0;0.0067424774169921875;0.007620334625244141
Longest;200;2;200;152;261;14;0.9623104693140794;0.0;0.007494449615478516;0.0073699951171875
Longest;200;3;200;152;261;14;0.9623104693140794;0.0;0.006409168243408203;0.00800466537475586
Longest;200;4;200;152;261;14;0.9623104693140794;0.0;0.007706880569458008;0.007295131683349609
Longest;200;5;200;152;261;14;0.9623104693140794;0.0;0.008130311965942383;0.007731437683105469
Longest;200;6;200;152;261;14;0.9623104693140794;0.0;0.008169889450073242;0.007525920867919922
Longest;200;7;200;152;261;14;0.9623104693140794;0.0;0.006947040557861328;0.00648951530456543
Longest;200;8;200;152;261;14;0.9623104693140794;0.0;0.007504463195800781;0.007926225662231445
Longest;200;9;200;152;261;14;0.9623104693140794;0.0;0.006768941879272461;0.0070819854736328125
Longest;300;0;300;209;348;14;0.9621451104100947;0.0;0.006303548812866211;0.007896900177001953
Longest;300;1;300;209;348;14;0.9621451104100947;0.0;0.007274627685546875;0.008306503295898438
Longest;300;2;300;209;348;14;0.9621451104100947;0.0;0.00635838508605957;0.008692026138305664
Longest;300;3;300;209;348;14;0.9621451104100947;0.0;0.007062673568725586;0.01352548599243164
Longest;300;4;300;209;348;14;0.9621451104100947;0.0;0.011427164077758789;0.012993335723876953
Longest;300;5;300;209;348;14;0.9621451104100947;0.0;0.0073316097259521484;0.008691549301147461
Longest;300;6;300;209;348;14;0.9621451104100947;0.0;0.008002519607543945;0.010098457336425781
Longest;300;7;300;209;348;14;0.9621451104100947;0.0;0.0076868534088134766;0.007711172103881836
Longest;300;8;300;209;348;14;0.9621451104100947;0.0;0.00671696662902832;0.01018071174621582
Longest;300;9;300;209;348;14;0.9621451104100947;0.0;0.006567716598510742;0.007456779479980469
Longest;400;0;400;259;423;14;0.9625961623485719;0.0;0.007002830505371094;0.008592367172241211
Longest;400;1;400;259;423;14;0.9625961623485719;0.0;0.006877422332763672;0.008911371231079102
Longest;400;2;400;259;423;14;0.9625961623485719;0.0;0.006678581237792969;0.008878946304321289
