approach;sample_size;repetition;activity;prob
Random;200;8;W_Nabellen offertes;0.2538540596094553
Random;200;8;W_Valideren aanvraag;0.065775950668037
Random;200;8;A_CANCELLED;0.04933196300102775
Random;200;8;O_CANCELLED;0.045220966084275435
Random;200;8;W_Nabellen incomplete dossiers;0.02672147995889003
Random;200;8;A_APPROVED;0.024665981500513873
Random;200;8;A_ACTIVATED;0.024665981500513873
Random;200;8;A_REGISTERED;0.024665981500513873
Random;200;8;O_ACCEPTED;0.024665981500513873
Random;200;8;O_SENT;0.023638232271325797
Random;200;8;O_CREATED;0.023638232271325797
Random;200;8;O_SELECTED;0.023638232271325797
Random;200;8;A_DECLINED;0.022610483042137718
Random;200;8;O_SENT_BACK;0.018499486125385406
Random;200;8;W_Afhandelen leads;0.014388489208633094
Random;200;8;A_ACCEPTED;0.013360739979445015
Random;200;8;A_FINALIZED;0.012332990750256937
Random;200;8;O_DECLINED;0.011305241521068859
Random;200;8;W_Beoordelen fraude;0.011305241521068859
Random;200;9;W_Completeren aanvraag;0.29057337220602525
Random;200;9;W_Nabellen offertes;0.22254616132167152
Random;200;9;W_Valideren aanvraag;0.08066083576287658
Random;200;9;A_CANCELLED;0.05150631681243926
Random;200;9;O_CANCELLED;0.043731778425655975
Random;200;9;O_SENT;0.031098153547133137
Random;200;9;O_CREATED;0.031098153547133137
Random;200;9;O_SELECTED;0.031098153547133137
Random;200;9;A_ACTIVATED;0.026239067055393587
Random;200;9;A_REGISTERED;0.026239067055393587
Random;200;9;A_APPROVED;0.026239067055393587
Random;200;9;O_ACCEPTED;0.026239067055393587
Random;200;9;W_Nabellen incomplete dossiers;0.023323615160349854
Random;200;9;A_FINALIZED;0.0184645286686103
Random;200;9;A_ACCEPTED;0.0184645286686103
Random;200;9;A_DECLINED;0.015549076773566569
Random;200;9;O_SENT_BACK;0.015549076773566569
Random;200;9;W_Afhandelen leads;0.013605442176870748
Random;200;9;O_DECLINED;0.007774538386783284
Random;300;0;W_Completeren aanvraag;0.28921244209133024
Random;300;0;W_Nabellen offertes;0.2885506287227002
Random;300;0;W_Valideren aanvraag;0.06154864328259431
Random;300;0;A_CANCELLED;0.03970880211780278
Random;300;0;O_CANCELLED;0.03772336201191264
Random;300;0;A_DECLINED;0.03309066843150232
Random;300;0;A_ACTIVATED;0.02514890800794176
Random;300;0;A_APPROVED;0.02514890800794176
Random;300;0;A_REGISTERED;0.02514890800794176
