approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;trace:penalty_C4@False;True;0.055114799947997735
Feature;100;0;event:concept:name@mail valid;True;0.05070724870494426
Feature;100;0;event:org:resource@b4755f;True;0.04939684970839766
Feature;100;0;event:org:resource@0fe39b;True;0.04743532122341074
Feature;100;0;trace:cross_compliance@0.0;True;0.04695794593187742
Feature;100;0;trace:penalty_CC@False;True;0.04695794593187742
Feature;100;0;event:subprocess@Main;True;0.04668759634511752
Feature;100;0;event:org:resource@727350;True;0.04499530257049291
Feature;100;0;event:org:resource@478c4f;True;0.04041860173653504
Feature;100;0;trace:payment_actual0@4000.0;True;0.039902463557860236
Feature;100;0;event:subprocess@Application;True;0.03626327339650578
Feature;100;0;event:doctype@Payment application;True;0.03592804817251331
Feature;100;0;event:org:resource@dd12cf;True;0.030999652430087905
Feature;100;0;event:doctype@Reference alignment;True;0.030422724120851626
Feature;100;0;event:concept:name@decide;True;0.026283726425188926
Feature;100;0;event:org:resource@dde669;True;0.025943877271675058
Feature;100;0;trace:rejected@False;True;0.025303289819400523
Feature;100;0;trace:penalty_BGK@False;True;0.025303289819400523
Feature;100;0;trace:penalty_AJLP@False;True;0.025303289819400523
Feature;100;0;event:success@True;True;0.010580389907891957
Feature;100;0;event:concept:name@begin payment;True;0.0012959272806558595
Feature;100;0;event:org:resource@1c1894;True;0.0012634362313490297
Feature;100;0;event:concept:name@performed;True;0.0004424106799890274
Feature;100;0;trace:penalty_amount0@13300.0;False;0.0
Feature;100;0;trace:penalty_amount0@10500.0;False;0.0
Feature;100;0;trace:penalty_BGKV@True;False;0.0
Feature;100;0;trace:payment_actual0@570000.0;False;0.0
Feature;100;0;trace:payment_actual0@580000.0;False;0.0
Feature;100;0;trace:cross_compliance@25.0;False;0.0
Feature;100;0;trace:penalty_amount0@12600.0;False;0.0
Feature;100;0;event:org:resource@parcel correction automaton;False;0.0
Feature;100;0;event:concept:name@correction GFM17;False;0.0
Feature;100;0;trace:cross_compliance@8.0;False;0.0
Feature;100;0;trace:area@139.0;False;0.0
Feature;100;0;trace:area@418.0;False;0.0
Feature;100;0;trace:area@155.0;False;0.0
Feature;100;0;trace:area@301.0;False;0.0
Feature;100;0;trace:area@160.0;False;0.0
Feature;100;0;trace:area@89.0;False;0.0
Feature;100;0;trace:area@185.0;False;0.0
Feature;100;0;trace:payment_actual0@113000.0;False;0.0
Feature;100;0;trace:area@338.0;False;0.0
Feature;100;0;trace:amount_applied0@113000.0;False;0.0
Feature;100;0;trace:area@35.0;False;0.0
Feature;100;0;trace:area@143.0;False;0.0
Feature;100;0;trace:area@49.0;False;0.0
Feature;100;0;trace:area@74.0;False;0.0
Feature;100;0;trace:area@129.0;False;0.0
Feature;100;0;trace:area@42.0;False;0.0
Feature;100;0;trace:area@171.0;False;0.0
Feature;100;0;trace:area@135.0;False;0.0
Feature;100;0;trace:area@108.0;False;0.0
Feature;100;0;trace:area@252.0;False;0.0
Feature;100;0;trace:area@201.0;False;0.0
Feature;100;0;trace:area@166.0;False;0.0
Feature;100;0;trace:area@272.0;False;0.0
Feature;100;0;trace:penalty_BGP@True;False;0.0
Feature;100;0;trace:number_parcels@100.0;False;0.0
Feature;100;0;trace:area@576.0;False;0.0
Feature;100;0;trace:amount_applied0@584000.0;False;0.0
Feature;100;0;trace:area@223.0;False;0.0
Feature;100;0;trace:penalty_amount0@9900.0;False;0.0
