approach;sample_size;repetition;trace_variants;deviating_traces;total_deviations;num_deviating_activities;fitness;time_partitioning;time_sampling;time_alignments
Longest;100;3;100;18;23;8;0.9938055480743334;0.0;0.003907918930053711;0.0015349388122558594
Longest;100;4;100;18;23;8;0.9938055480743334;0.0;0.004110813140869141;0.0012369155883789062
Longest;100;5;100;18;23;8;0.9938055480743334;0.0;0.003822803497314453;0.0012700557708740234
Longest;100;6;100;18;23;8;0.9938055480743334;0.0;0.004312992095947266;0.0012328624725341797
Longest;100;7;100;18;23;8;0.9938055480743334;0.0;0.0037751197814941406;0.0012137889862060547
Longest;100;8;100;18;23;8;0.9938055480743334;0.0;0.003987312316894531;0.0017940998077392578
Longest;100;9;100;18;23;8;0.9938055480743334;0.0;0.004203081130981445;0.0012753009796142578
Longest;200;0;200;37;47;8;0.9917903930131005;0.0;0.0038690567016601562;0.0026869773864746094
Longest;200;1;200;37;47;8;0.9917903930131005;0.0;0.004010915756225586;0.0019268989562988281
Longest;200;2;200;37;47;8;0.9917903930131005;0.0;0.003812074661254883;0.002317667007446289
Longest;200;3;200;37;47;8;0.9917903930131005;0.0;0.00418400764465332;0.0018651485443115234
Longest;200;4;200;37;47;8;0.9917903930131005;0.0;0.00373077392578125;0.002190828323364258
Longest;200;5;200;37;47;8;0.9917903930131005;0.0;0.00425410270690918;0.0018148422241210938
Longest;200;6;200;37;47;8;0.9917903930131005;0.0;0.006302833557128906;0.0031800270080566406
Longest;200;7;200;37;47;8;0.9917903930131005;0.0;0.0042989253997802734;0.002015352249145508
Longest;200;8;200;37;47;8;0.9917903930131005;0.0;0.004469156265258789;0.0018858909606933594
Longest;200;9;200;37;47;8;0.9917903930131005;0.0;0.0038368701934814453;0.0018329620361328125
Longest;300;0;300;54;73;9;0.9901257946706343;0.0;0.004673957824707031;0.0025720596313476562
Longest;300;1;300;54;73;9;0.9901257946706343;0.0;0.0038001537322998047;0.002414703369140625
Longest;300;2;300;54;73;9;0.9901257946706343;0.0;0.004611015319824219;0.0028307437896728516
Longest;300;3;300;54;73;9;0.9901257946706343;0.0;0.004392147064208984;0.002991914749145508
Longest;300;4;300;54;73;9;0.9901257946706343;0.0;0.004199981689453125;0.0025129318237304688
Longest;300;5;300;54;73;9;0.9901257946706343;0.0;0.0041310787200927734;0.0031888484954833984
Longest;300;6;300;54;73;9;0.9901257946706343;0.0;0.00393223762512207;0.0024161338806152344
Longest;300;7;300;54;73;9;0.9901257946706343;0.0;0.004754066467285156;0.002721071243286133
Longest;300;8;300;54;73;9;0.9901257946706343;0.0;0.003859996795654297;0.0024068355560302734
Longest;300;9;300;54;73;9;0.9901257946706343;0.0;0.004560947418212891;0.0025131702423095703
Longest;400;0;400;67;88;9;0.9901223481872264;0.0;0.0038111209869384766;0.0034608840942382812
Longest;400;1;400;67;88;9;0.9901223481872264;0.0;0.004000663757324219;0.002888917922973633
Longest;400;2;400;67;88;9;0.9901223481872264;0.0;0.004357814788818359;0.0040607452392578125
Longest;400;3;400;67;88;9;0.9901223481872264;0.0;0.00401616096496582;0.002960205078125
Longest;400;4;400;67;88;9;0.9901223481872264;0.0;0.0046999454498291016;0.0033080577850341797
Longest;400;5;400;67;88;9;0.9901223481872264;0.0;0.003964900970458984;0.003854036331176758
Longest;400;6;400;67;88;9;0.9901223481872264;0.0;0.004071950912475586;0.0028450489044189453
